company,model_name,colour,operating_system,Processor,processor_company,ram_in_GB,storage_in_GB,storage_type,touch_screen,screen_size,battery_life_in_hours,delivery,price_in_Euro
HP,"Pavilion 14-dv1629sa 14"" Laptop ",silver,Windows 11,Intel Core i5-1155G7 Processor,Intel,8,256.0,SSD,no,14.0,8.0,yes,649.0
DELL,"Inspiron 15 3000 15.6"" Laptop ",black,Free Upgrade to Windows 11,Intel Core i3-1115G4 Processor,Intel,8,256.0,SSD,no,15.6,6.5,yes,529.0
ACER,"314 14"" Chromebook ",silver,Chrome OS,MediaTek MT8183 Processor,MediaTek,4,64.0,eMMC,no,14.0,12.0,yes,379.0
LENOVO,"IdeaPad 3 14"" Chromebook ",blue,Chrome OS,MediaTek MT8183 Processor,MediaTek,4,64.0,eMMC,no,14.0,16.0,yes,299.0
ACER,"Aspire 5 A514-54 14"" Laptop ",black & silver,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8,256.0,SSD,no,14.0,10.0,yes,659.0
HP,"15s-fq4553sa 15.6"" Laptop ",silver,Windows 11,Intel Core i5-1155G7 Processor,Intel,4,256.0,SSD,no,15.6,10.0,yes,499.0
APPLE,"MacBook Air 13.3"" (2020) ",silver,macOS 11.0 Big Sur,Apple M1 chip,Apple,8,256.0,SSD,no,13.3,18.0,yes,1109.0
APPLE,"MacBook Air 13.3"" (2020) ",space grey,macOS 11.0 Big Sur,Apple M1 chip,Apple,8,256.0,SSD,no,13.3,18.0,yes,1109.0
HP,"Stream 11-ak0512sa 11.6"" Laptop ",white,Free Upgrade to Windows 11,Intel Celeron N4020 Processor,Intel,4,64.0,eMMC,no,11.6,13.0,yes,219.0
ASUS,"C202 11.6"" Chromebook ",grey & black,Chrome OS,MediaTek MT8173C Processor,MediaTek,4,256.0,eMMC,no,11.6,10.0,yes,159.0
HP,"Stream 11-ak0513sa 11.6"" Laptop ",blue,Free Upgrade to Windows 11,Intel Celeron N4020 Processor,Intel,4,64.0,eMMC,no,11.6,13.0,yes,219.0
HP,"15-dw1513sa 15.6"" Laptop ",black,Free Upgrade to Windows 11,Intel Core i3-10110U Processor,Intel,4,128.0,SSD,no,15.6,10.0,yes,429.0
LENOVO,"IdeaPad 3i 14"" Laptop ",blue,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8,256.0,SSD,no,14.0,6.0,yes,659.0
LENOVO,"IdeaPad 3 15.6"" Laptop ",black,Free Upgrade to Windows 11,AMD Athlon Gold 3150U Processor,AMD,4,128.0,SSD,no,15.6,,yes,319.0
ACER,"Swift 1 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Pentium Silver N6000 processor,Intel,8,256.0,SSD,no,14.0,16.0,yes,599.0
HP,"Pavilion 15-eh0523sa 15.6"" Laptop ",blue,Free Upgrade to Windows 11,AMD Ryzen 5 4500U Processor,AMD,8,256.0,SSD,yes,15.6,6.5,yes,719.0
ACER,"715 15.6"" Chromebook ",grey,Chrome OS,Intel Pentium Gold 4417U Processor,Intel,4,128.0,eMMC,no,15.6,12.0,yes,399.0
DELL,"Inspiron 15 3511 15.6"" Laptop ",silver,Windows 11,Intel Core i5-1035G1 Processor,Intel,8,256.0,SSD,no,15.6,7.0,yes,609.0
APPLE,"MacBook Pro 13.3"" (2020) ",space grey,macOS 11.0 Big Sur,Apple M1 chip,Apple,8,256.0,SSD,no,13.3,20.0,yes,1419.0
ASUS,"C223 11.6"" Chromebook ",grey,Chrome OS,Intel Celeron N3350 Processor,Intel,4,256.0,eMMC,no,11.6,10.0,yes,179.0
DELL,"Inspiron 15 3000 15.6"" Laptop ",black,Free Upgrade to Windows 11,AMD Ryzen 5 3500U Processor,AMD,8,256.0,SSD,no,15.6,8.5,yes,549.0
HP,"14a-na0500sa 14"" Chromebook ",white,Chrome OS,Intel Celeron N4020 Processor,Intel,4,64.0,eMMC,no,14.0,13.0,yes,289.0
ACER,"Aspire 3 15.6"" Laptop ",black,Free Upgrade to Windows 11,Intel Core i7-1065G7 Processor,Intel,8,256.0,SSD,no,15.6,8.0,yes,879.0
DELL,"Inspiron 15 3502 15.6"" Laptop ",black,Free Upgrade to Windows 11,Intel Pentium Silver N5030 processor,Intel,4,128.0,SSD,no,15.6,,yes,399.0
ACER,"Aspire 5 A515-45 15.6"" Laptop ",black,Free Upgrade to Windows 11,AMD Ryzen 5 5500U Processor,AMD,8,256.0,SSD,no,15.6,13.5,yes,659.0
ASUS,"VivoBook F515EA 15.6"" Laptop ",grey,Free Upgrade to Windows 11,Intel Core i3-1115G4 Processor,Intel,8,256.0,SSD,no,15.6,6.0,yes,599.0
ACER,"Aspire 3 15.6"" Laptop ",black,Free Upgrade to Windows 11,Intel Core i5-1035G1 Processor,Intel,8,256.0,SSD,no,15.6,8.0,yes,639.0
ACER,"Swift 1 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Pentium Silver N6000 processor,Intel,4,128.0,SSD,no,14.0,,yes,529.0
HP,"x360 12b-ca0500na 12"" 2 in 1 Chromebook ",silver,Chrome OS,Intel Celeron N4000 Processor,Intel,4,64.0,eMMC,no,12.0,13.0,yes,359.0
DELL,"XPS 13 9305 13.3"" Laptop ",silver,Free Upgrade to Windows 11,Intel Evo platform,Intel,8,256.0,SSD,no,13.3,,yes,1019.0
ACER,"Aspire 1 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Celeron N4500 Processor,Intel,4,128.0,eMMC,no,14.0,8.0,yes,299.0
APPLE,"MacBook Air 13.3"" (2020) ",space grey,macOS 11.0 Big Sur,Apple M1 chip,Apple,8,256.0,SSD,no,13.3,18.0,yes,1379.0
HP,"17-cp0501na 17.3"" Laptop ",blue,Free Upgrade to Windows 11,AMD Ryzen 5 5500U Processor,AMD,16,256.0,SSD,no,17.3,8.0,yes,719.0
APPLE,"MacBook Pro 16"" (2021) ",silver,macOS 12.0 Monterey,Apple M1 Pro chip,Apple,16,256.0,SSD,no,16.0,21.0,yes,2749.0
SAMSUNG,"Galaxy Book 15.6"" Laptop ",mystic silver,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8,256.0,SSD,no,15.6,11.0,yes,719.0
DELL,"Inspiron 15 5518 15.6"" Laptop ",silver,Windows 11,Intel Core i7-11390H Processor,Intel,16,256.0,SSD,no,15.6,8.0,yes,959.0
HP,"Pavilion 14-dv0622sa 14"" Laptop ",silver,Windows 11 S,Intel Pentium Gold 7505 Processor,Intel,4,128.0,SSD,no,14.0,,yes,399.0
HP,"Stream 14s-dq0505sa 14"" Laptop ",blue,Free Upgrade to Windows 11,Intel Celeron N4020 Processor,Intel,4,64.0,eMMC,no,14.0,,yes,299.0
HP,"Pavilion x360 14"" 2 in 1 Laptop ",silver,Free Upgrade to Windows 11,Intel Core i7-1165G7 Processor,Intel,16,256.0,SSD,yes,14.0,8.0,yes,1019.0
ASUS,"VivoBook F415 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Pentium Gold 7505 Processor,Intel,4,128.0,SSD,no,14.0,,yes,349.0
APPLE,"MacBook Air 13.3"" (2020) ",silver,macOS 11.0 Big Sur,Apple M1 chip,Apple,8,256.0,SSD,no,13.3,18.0,yes,1379.0
ASUS,"ZenBook 15 UX534FAC 15.6"" Laptop ",blue,Free Upgrade to Windows 11,Intel Core i7-10510U Processor,Intel,16,256.0,SSD,no,15.6,,yes,1079.0
MICROSOFT,"10.5"" Surface Go 3 ",platinum,Windows 11,Intel Pentium Gold 6500Y Processor,Intel,4,64.0,SSD,yes,10.5,11.0,yes,419.0
APPLE,"MacBook Pro 13.3"" (2020) ",space grey,macOS 11.0 Big Sur,Apple M1 chip,Apple,8,256.0,SSD,no,13.3,20.0,yes,1649.0
HP,"ENVY 17-ch0500sa 17.3"" Laptop ",silver,Windows 11,Intel Core i7-1165G7 Processor,Intel,16,1000.0,SSD,yes,17.3,9.5,yes,1399.0
LENOVO,"IdeaPad 3i 14"" Chromebook ",blue,Chrome OS,Intel Celeron N4020 Processor,Intel,4,64.0,eMMC,no,14.0,10.0,yes,299.0
HP,"Pavilion 14-dv0511sa 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i3-1115G4 Processor,Intel,8,256.0,SSD,yes,14.0,8.0,yes,669.0
ACER,"Aspire 5 A517-52G 17.3"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i7-1165G7 Processor,Intel,16,256.0,SSD,no,17.3,,yes,1129.0
SAMSUNG,"Galaxy Book Pro 360 15.6"" 2 in 1 Laptop ",mystic navy,Free Upgrade to Windows 11,Intel Evo platform,Intel,16,256.0,SSD,yes,15.6,,yes,1599.0
LENOVO,"IdeaPad 3i 14"" Chromebook ",grey,Chrome OS,Intel Celeron N4020 Processor,Intel,4,64.0,eMMC,no,14.0,10.0,yes,299.0
HP,"17-cn0524na 17.3"" Laptop ",black,Free Upgrade to Windows 11,Intel Core i3-1125G4 Processor,Intel,8,256.0,SSD,no,17.3,,yes,619.0
LENOVO,"IdeaPad Duet 10.1"" 2 in 1 Chromebook ",blue & grey,Chrome OS,MediaTek P60T Processor,MediaTek,4,128.0,eMCP,yes,10.1,10.0,yes,359.0
DELL,"XPS 13 9305 13.3"" Laptop ",silver,Free Upgrade to Windows 11,Intel Evo platform,Intel,8,256.0,SSD,no,13.3,,yes,879.0
ACER,"Aspire 3 14"" Laptop ",silver,Free Upgrade to Windows 11,AMD Athlon Silver 3050U Processor,AMD,4,128.0,SSD,no,14.0,,yes,359.0
